Date,BCP,FGI,log_price,t,lppls_score,lppls_r2_score,lppls_urgency,lppls_tc_median,lppls_days_to_tc,lppls_valid_fits,lppls_score_smooth,lppls_r2_score_smooth,lppls_urgency_smooth,lppls_score_norm,lppls_days_to_tc_smooth,r2_signal,lppls_r2_smoothed,lppls_score_raw,lppls_fit_weight,lppls_tc_median_smooth,lppls_urgency_smooth_tc,lppls_score_tc_smooth,lppls_score_tc_smooth_smooth,lppls_urgency_smooth_tc_smooth,lppls_fit_weight_smooth,lppls_valid_fits_smooth,lppls_final_score,lppls_final_score_norm,lppls_r2_score_filled,lppls_valid_fits_filled,lppls_custom_final_score,lppls_custom_final_score_smooth
2025-12-11,92511.3359375,29.0,11.435086466667471,1267,0.0,0.0,0.0,,,0,0.00036701940358368573,0.00033867659081755617,0.0009581497102717979,0.15342465753424658,26.081958132232785,0.0,0.0,0.0,0.0,1293.0819581322328,0.7484135834183322,0.0,4.535681285775997e-08,0.5354089232729078,0.0008584998571964739,0.015970433489723636,4.535681285775997e-08,0.005555555555555556,0.0,0.0,0.0,0.00018591023520726394
2025-12-12,90270.4140625,29.0,11.410565045215325,1268,0.0,0.0,0.0,,,0,0.0003002886029321065,0.00027709902885072774,0.0007839406720405619,0.1506849315068493,20.22890846751966,0.0,0.0,0.0,0.0,1288.2289084675197,0.7987033732524269,0.0,3.7110119610894516e-08,0.5832806414510021,0.0007024089740698422,0.013066718309773883,3.7110119610894516e-08,0.005555555555555556,0.0,0.0,0.0,0.00015210837426048868
2025-12-13,90298.7109375,23.0,11.410878463970958,1269,0.0,0.0,0.0,,,0,0.0002456906751262689,0.0002267173872415045,0.0006414060043968233,0.14794520547945206,14.83805400896972,0.0,0.0,0.0,0.0,1283.8380540089697,0.848006255230541,0.0,3.036282513618642e-08,0.6314125712291001,0.0005746982515116891,0.010690951344360449,3.036282513618642e-08,0.005555555555555556,0.0,0.0,0.0,0.0001244523062131271
2025-12-14,88175.1796875,21.0,11.387080792953041,1270,0.0,0.0,0.0,,,0,0.0002010196432851291,0.00018549604410668548,0.000524786730870128,0.14520547945205478,9.86537616551982,0.0,0.0,0.0,0.0,1279.8653761655198,0.8961788372953289,0.0,2.4842311475061613e-08,0.6795518923320508,0.0004702076603277456,0.008747142009022185,2.4842311475061613e-08,0.005555555555555556,0.0,0.0,0.0,0.0001018246141743767
2025-12-15,86419.78125,16.0,11.366971878239953,1271,0.0,0.0,0.0,,,0,0.00016447061723328743,0.00015176949063274266,0.0004293709616210138,0.14246575342465753,5.271048592874649,0.0,0.0,0.0,0.0,1276.2710485928746,0.9431148547387196,0.0,2.0325527570504954e-08,0.7274724309514451,0.00038471535844997363,0.007156752552836333,2.0325527570504954e-08,0.005555555555555556,0.0,0.0,0.0,8.331104796085366e-05
2025-12-16,87843.984375,11.0,11.38331761517503,1272,0.0,0.0,0.0,,,0,0.000134566868645417,0.00012417503779042581,0.00035130351405355674,0.13972602739726028,1.0190379319099065,0.0,0.0,0.0,0.0,1273.01903793191,0.988741216194013,0.0,1.6629977103140416e-08,0.7749758464500938,0.0003147671114590693,0.005855524815956999,1.6629977103140416e-08,0.005555555555555556,0.0,0.0,0.0,6.81635846952439e-05
2025-12-17,86143.7578125,16.0,11.363772782134177,1273,0.0,0.0,0.0,,,0,0.00011010016525534117,0.00010159775819216657,0.00028743014786200094,0.136986301369863,-2.923257428010629,0.0,0.0,0.0,0.0,1270.0767425719894,1.0,0.0,1.360634490256943e-08,0.815889328913713,0.00025753672755742034,0.004790883940328453,1.360634490256943e-08,0.005555555555555556,0.0,0.0,0.0,5.5770205659745e-05
2025-12-18,85462.5078125,17.0,11.355833053636408,1274,0.0,0.0,0.0,,,0,9.008195339073368e-05,8.312543852086356e-05,0.00023517012097800074,0.13424657534246576,-6.585334182224415,0.0,0.0,0.0,0.0,1267.4146658177756,1.0,0.0,1.1132464011193169e-08,0.849363996383947,0.00021071186800152573,0.003919814132996007,1.1132464011193169e-08,0.005555555555555556,0.0,0.0,0.0,4.563016826706409e-05
2025-12-19,88103.3828125,16.0,11.386266208604816,1275,0.0,0.0,0.0,,,0,7.370341641060028e-05,6.801172242616108e-05,0.00019241191716381877,0.13150684931506848,-9.993879816989192,0.0,0.0,0.0,0.0,1265.0061201830108,1.0,0.0,9.108379645521683e-09,0.8767523606777747,0.0001724006192739756,0.00320712065426946,9.108379645521683e-09,0.005555555555555556,0.0,0.0,0.0,3.73337740366888e-05
2025-12-20,88344.0,20.0,11.388993563726967,1276,0.0,0.0,0.0,,,0,6.030279524503659e-05,5.5645954712313614e-05,0.0001574279322249426,0.12876712328767123,-13.173040153204965,0.0,0.0,0.0,0.0,1262.826959846795,1.0,0.0,7.452310619063194e-09,0.8991610223727247,0.00014105505213325275,0.002624007808038649,7.452310619063194e-09,0.005555555555555556,0.0,0.0,0.0,3.05458151209272e-05
